paper_uid_after_direct_w,ref_title,ref_author,ref_publisher_or_journal,ref_year,direct_article_id,direct_id_sources,direct_id_values,direct_id_conflict,query_signature
P00044266,북한 통일전략전술 무엇을 의미하는가,장수련,북한,1996,,,,False,북한통일전략전술무엇을의미하는가||장수련||북한||1996
P00044268,북한의 테러전과 심리전략,조영갑,군사논단,1999,,,,False,북한의테러전과심리전략||조영갑||군사논단||1999
P00044269,북한 테러이념의 이론적 근원과 현실적 배경,주수기,정치·정보연구,1999,,,,False,북한테러이념의이론적근원과현실적배경||주수기||정치정보연구||1999
P00044271,북한의 대남한 테러리즘에 관한 연구:테러리즘의 원인이론을 중심으로,최윤수,한국공안행정학회보,1994,,,,False,북한의대남한테러리즘에관한연구테러리즘의원인이론을중심으로||최윤수||한국공안행정학회보||1994
P00044272,북한의 대남한 테러리즘의 정책적 배경 및 특성에 관한 고찰,최윤수,한국공안행정학회,1991,,,,False,북한의대남한테러리즘의정책적배경및특성에관한고찰||최윤수||한국공안행정학회||1991
P00044274,북한 테러행위와 대응책,한중광,국방연구,1985,,,,False,북한테러행위와대응책||한중광||국방연구||1985
P00044282,김정일의 후계체제와 북한의 진로,이교덕,안보학술논집,2006,,,,False,김정일의후계체제와북한의진로||이교덕||안보학술논집||2006
P00044284,최근 북한 권력엘리트 변동 분석,전현준,통일정세분석,2008,,,,False,최근북한권력엘리트변동분석||전현준||통일정세분석||2008
P00044286,한국 정치엘리트의 구조 분석,황종성,한국정치학회보,1998,,,,False,한국정치엘리트의구조분석||황종성||한국정치학회보||1998
P00044296,월간 북한동향,통일연구원,월간 북한동향,2009,,,,False,월간북한동향||통일연구원||월간북한동향||2009
P00044297,문학 예술의 민족적 특성에 대하여,김창석,조선문학,1959,,,,False,문학예술의민족적특성에대하여||김창석||조선문학||1959
P00044298,강령,북조선예술총련맹,문화전선,1946,,,,False,강령||북조선예술총련맹||문화전선||1946
P00044299,신정세와 민주주의문화예술전선강화의 임무,안 막,문화전선,1946,,,,False,신정세와민주주의문화예술전선강화의임무||안막||문화전선||1946
P00044300,연합군진주와 조선해방,윤규섭,개벽,1946,,,,False,연합군진주와조선해방||윤규섭||개벽||1946
P00044301,민족문화론,윤규섭,신문예,1946,,,,False,민족문화론||윤규섭||신문예||1946
P00044302,고도(古都) 평양,윤세평,조선문학,1957,,,,False,고도평양||윤세평||조선문학||1957
P00044303,공산주의자의 전형 창조와 관련된 민족적 특성에 대한 약간의 고찰,윤세평,조선문학,1960,,,,False,공산주의자의전형창조와관련된민족적특성에대한약간의고찰||윤세평||조선문학||1960
P00044304,신민족문화수립을 위하여,윤세평,문화전선,1946,,,,False,신민족문화수립을위하여||윤세평||문화전선||1946
P00044305,우리 나라에서 맑스-레닌주의 미학의 창조적 구현,윤세평,조선문학,1962,,,,False,우리나라에서맑스레닌주의미학의창조적구현||윤세평||조선문학||1962
P00044306,해방과 문학예술,윤세평,조선문학,1947,,,,False,해방과문학예술||윤세평||조선문학||1947
P00044307,동해물,윤절산,신문학,1946,,,,False,동해물||윤절산||신문학||1946
P00044308,개벽,이기영,문화전선,1946,,,,False,개벽||이기영||문화전선||1946
P00044309,민족문학론,청량산인,문학,1948,,,,False,민족문학론||청량산인||문학||1948
P00044310,민촌과 나,한설야,조선문학,1955,,,,False,민촌과나||한설야||조선문학||1955
P00044311,북조선의 문화의 전모,한설야,문예중앙,1995,,,,False,북조선의문화의전모||한설야||문예중앙||1995
P00044312,해방후 사회주의적 사실주의 문학의 발전과 혁신,한중모,조선어문,1960,,,,False,해방후사회주의적사실주의문학의발전과혁신||한중모||조선어문||1960
P00044313,우리 문학의 개화 발전을 위한 조선 로동당의 투쟁,한 효,조선어문,1957,,,,False,우리문학의개화발전을위한조선로동당의투쟁||한효||조선어문||1957
P00044322,카프(KAPF)에 대한 카프 주변부의 비판과 그 가능성,서경석,어문론총,2004,,,,False,카프kapf에대한카프주변부의비판과그가능성||서경석||어문론총||2004
P00044323,문학과 생활실천의 통일,신재기,예술논문집,1993,,,,False,문학과생활실천의통일||신재기||예술논문집||1993
P00044324,金煥泰의 印象批評과 尹圭涉의 傾向批評,오하근,한국언어문학,2006,,,,False,의과의||오하근||한국언어문학||2006
P00044325,북한의 민족문학이론가·문학평론가 윤세평,전영선,북한,2000,,,,False,북한의민족문학이론가문학평론가윤세평||전영선||북한||2000
P00044326,인식의 비평과 비평의 인식,최명표,문예연구,2006,,,,False,인식의비평과비평의인식||최명표||문예연구||2006
P00044334,남북협력기금 투명성 제고방안,김남중,수은 북한경제,2008,,,,False,남북협력기금투명성제고방안||김남중||수은북한경제||2008
P00044345,지방자치단체의 대북 교류협력: 현황과 과제,김영윤,통일정책연구,2005,ART000966283,paper_uid,ART000966283,False,지방자치단체의대북교류협력현황과과제||김영윤||통일정책연구||2005
P00044346,정책결정제도의 변화가 정책네트워크형성에 미치는 영향에 관한 연구: 울진사례를 중심으로,김영종,한국정책과학학회보,2006,,,,False,정책결정제도의변화가정책네트워크형성에미치는영향에관한연구울진사례를중심으로||김영종||한국정책과학학회보||2006
P00044347,남북 지자체간 교류·협력의 효율적 추진방안,김학성,동향과 논단,2007,,,,False,남북지자체간교류협력의효율적추진방안||김학성||동향과논단||2007
P00044348,다원적 남북교류협력 활성화를 위한 지방자치단체의 역할에 관한 연구,류지성,한국동북아논총,2005,,,,False,다원적남북교류협력활성화를위한지방자치단체의역할에관한연구||류지성||한국동북아논총||2005
P00044352,지자체 남북 교류·협력사업의 효과적 추진방안에 관한 연구,양현모,통일연구,2002,,,,False,지자체남북교류협력사업의효과적추진방안에관한연구||양현모||통일연구||2002
P00044356,남북한 지방자치단체의 교류협력에 관한 탐색연구,채경석,정치·정보연구,2004,ART001364708,paper_uid,ART001364708,False,남북한지방자치단체의교류협력에관한탐색연구||채경석||정치정보연구||2004
P00044357,긴급구호에서 개발지원으로: 국내 NGO의 지원경험과 향후과제,최대석,북한연구학회보,2006,,,,False,긴급구호에서개발지원으로국내ngo의지원경험과향후과제||최대석||북한연구학회보||2006
P00044358,남북교류의 구조적 특징과 지방자치단체의 역할,최용환,북한연구학회보,2007,,,,False,남북교류의구조적특징과지방자치단체의역할||최용환||북한연구학회보||2007
P00044376,"국제사법재판소, 아시아 영유권분쟁에서 공식간행물 기록에 주목",배진수,월간조선,2008,,,,False,국제사법재판소아시아영유권분쟁에서공식간행물기록에주목||배진수||월간조선||2008
P00044377,독도보도와 국익,배진수,신문과 방송,2008,,,,False,독도보도와국익||배진수||신문과방송||2008
P00044378,미일의 대북수교 파급효과와 우리의 대응방안,배진수,정책연구,1995,,,,False,미일의대북수교파급효과와우리의대응방안||배진수||정책연구||1995
P00044379,북한의 외교정책과 일본,서대숙,월간 통일경제,1955,,,,False,북한의외교정책과일본||서대숙||월간통일경제||1955
P00044381,북·일관계의 역사적 조명 및 양국관계 정상화 전망,이재형,평화연구,2004,,,,False,북일관계의역사적조명및양국관계정상화전망||이재형||평화연구||2004
P00044382,"납치문제문턱 넘지 못하는 북일 수교협상-아베 내각, 정치적 이슈 포기 못해…북은 한‧미‧일 공조 균열 노려-",이정룡,자유공론,2007,,,,False,납치문제문턱넘지못하는북일수교협상아베내각정치적이슈포기못해북은한미일공조균열노려||이정룡||자유공론||2007
P00044390,신년공동사설 경제부문 비교(2000~2009),김상기,KDI 북한경제리뷰,2009,,,,False,신년공동사설경제부문비교20002009||김상기||kdi북한경제리뷰||2009
P00044391,세계 경제위기가 북한의 경제와 대남전략에 미치는 영향,김용호,주요국제문제분석,2009,,,,False,세계경제위기가북한의경제와대남전략에미치는영향||김용호||주요국제문제분석||2009
P00044396,2006년 이래 북한의 보수적 대내정책과 장성택,박형중,통일연구원 Online Series,2008,,,,False,2006년이래북한의보수적대내정책과장성택||박형중||통일연구원onlineseries||2008
P00044397,남북관계 1년의 평가와 과제,박형중,통일연구원 Online Series,2009,,,,False,남북관계1년의평가와과제||박형중||통일연구원onlineseries||2009
P00044399,북한의 2009년 신년공동사설 분석,백학순,세종논평,2009,,,,False,북한의2009년신년공동사설분석||백학순||세종논평||2009
P00044401,2009년도 북한의 대외경제 전망,조명철,KIEP 오늘의 세계경제,2009,,,,False,2009년도북한의대외경제전망||조명철||kiep오늘의세계경제||2009
P00044402,제3기 김정일체제의 특징과 2009년 예산평가,조명철,KIEP 오늘의 세계경제,2009,,,,False,제3기김정일체제의특징과2009년예산평가||조명철||kiep오늘의세계경제||2009
P00044404,북한의 신년 공동사설 분석,최진욱,통일연구원 Online Series,2009,,,,False,북한의신년공동사설분석||최진욱||통일연구원onlineseries||2009
P00044405,미국의 정치노선이 바뀌나,장 보드리야르,르몽드 디플로마티크,2008,,,,False,미국의정치노선이바뀌나||장보드리야르||르몽드디플로마티크||2008
P00044413,북한연구 방법론 고찰:주요 쟁점의 현황과 과제,강광식,북한학보,1995,,,,False,북한연구방법론고찰주요쟁점의현황과과제||강광식||북한학보||1995
P00044415,통일이론의 체계적 연구를 위한 제언,구본태,북한,1975,,,,False,통일이론의체계적연구를위한제언||구본태||북한||1975
P00044418,남북한 통합에 대한 신기능주의적 이해,김도태,국방논집,1992,,,,False,남북한통합에대한신기능주의적이해||김도태||국방논집||1992
